Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2021,Osasuna,La Liga,team,28,27.9,43.1,38,418,3420,38,36,25,31,5,6,80,5,0.95,0.66,1.61,0.82,1.47,37.6,33.2,23.4,56.7,0.99,0.62,1.61,0.87,1.49,https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats
2021,Osasuna,La Liga,opponent,28,27.4,56.9,38,418,3420,38,45,31,40,5,8,65,0,1.18,0.82,2,1.05,1.87,51.3,45.4,34.8,80.2,1.35,0.92,2.27,1.19,2.11,https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats
2021,Paris S-G,Ligue 1,team,33,26.7,63.5,38,418,3420,38,85,52,73,12,13,79,7,2.24,1.37,3.61,1.92,3.29,82.4,73.1,54.6,127.7,2.17,1.44,3.61,1.92,3.36,https://fbref.com/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
2021,Paris S-G,Ligue 1,opponent,33,25.9,36.5,38,418,3420,38,27,17,26,1,2,59,9,0.71,0.45,1.16,0.68,1.13,37.3,35.8,27.1,62.8,0.98,0.71,1.69,0.94,1.65,https://fbref.com/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
2021,Parma,Serie A,team,42,28,47.7,38,418,3420,38,39,26,34,5,5,91,1,1.03,0.68,1.71,0.89,1.58,40,36.2,28.6,64.9,1.05,0.75,1.81,0.95,1.71,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats
2021,Parma,Serie A,opponent,42,27.1,52.3,38,418,3420,38,80,62,77,3,3,71,1,2.11,1.63,3.74,2.03,3.66,61.4,59.4,45.3,104.7,1.62,1.19,2.81,1.56,2.76,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats
2021,RB Leipzig,Bundesliga,team,25,25,60,34,374,3060,34,59,44,51,8,10,57,0,1.74,1.29,3.03,1.5,2.79,65.3,58,44.7,102.7,1.92,1.32,3.24,1.7,3.02,https://fbref.com/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
2021,RB Leipzig,Bundesliga,opponent,25,26.1,40,34,374,3060,34,32,27,29,3,3,64,2,0.94,0.79,1.74,0.85,1.65,29.1,26.8,22.1,48.9,0.86,0.65,1.51,0.79,1.44,https://fbref.com/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
2021,Real Madrid,La Liga,team,30,27.9,59.7,38,418,3420,38,64,53,61,3,3,59,2,1.68,1.39,3.08,1.61,3,61.5,59.2,46,105.3,1.62,1.21,2.83,1.56,2.77,https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2021,Real Madrid,La Liga,opponent,30,27.5,40.3,38,418,3420,38,27,17,20,7,8,87,3,0.71,0.45,1.16,0.53,0.97,36.5,30.4,23.8,54.2,0.96,0.63,1.59,0.8,1.43,https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2021,Real Sociedad,La Liga,team,30,25,55.1,38,418,3420,38,58,39,49,9,12,81,1,1.53,1.03,2.55,1.29,2.32,60.4,51.6,39.2,90.7,1.59,1.03,2.62,1.36,2.39,https://fbref.com/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2021,Real Sociedad,La Liga,opponent,30,27.4,44.9,38,418,3420,38,37,24,34,3,5,91,6,0.97,0.63,1.61,0.89,1.53,36.6,32.8,24.4,57.3,0.96,0.64,1.61,0.86,1.51,https://fbref.com/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2021,Reims,Ligue 1,team,29,24.6,44.8,38,418,3420,38,39,23,34,5,5,77,8,1.03,0.61,1.63,0.89,1.5,33.3,29.7,20.9,50.5,0.88,0.55,1.43,0.78,1.33,https://fbref.com/en/squads/7fdd64e0/2020-2021/Reims-Stats
2021,Reims,Ligue 1,opponent,29,26,55.2,38,418,3420,38,49,34,44,5,8,58,3,1.29,0.89,2.18,1.16,2.05,61.1,55.4,40.3,95.6,1.61,1.06,2.67,1.46,2.52,https://fbref.com/en/squads/7fdd64e0/2020-2021/Reims-Stats
2021,Rennes,Ligue 1,team,32,25.5,59.5,38,418,3420,38,50,39,47,3,3,79,5,1.32,1.03,2.34,1.24,2.26,50,47.7,37.5,85.2,1.31,0.99,2.3,1.25,2.24,https://fbref.com/en/squads/b3072e00/2020-2021/Rennes-Stats
2021,Rennes,Ligue 1,opponent,32,26.1,40.5,38,418,3420,38,40,30,37,3,4,70,6,1.05,0.79,1.84,0.97,1.76,40,37,26.2,63.2,1.05,0.69,1.74,0.97,1.66,https://fbref.com/en/squads/b3072e00/2020-2021/Rennes-Stats
2021,Roma,Serie A,team,31,26.7,52.5,38,418,3420,38,67,51,60,7,8,91,3,1.76,1.34,3.11,1.58,2.92,68.9,62.9,49.2,112.1,1.81,1.3,3.11,1.66,2.95,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats
2021,Roma,Serie A,opponent,31,27.3,47.5,38,418,3420,38,52,36,47,5,6,80,6,1.37,0.95,2.32,1.24,2.18,51.4,46.7,34,80.7,1.35,0.89,2.25,1.23,2.12,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats
2021,Saint-Étienne,Ligue 1,team,40,25.4,48.3,38,418,3420,38,40,28,34,6,9,76,2,1.05,0.74,1.79,0.89,1.63,48.2,41.4,30.8,72.2,1.27,0.81,2.08,1.09,1.9,https://fbref.com/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
2021,Saint-Étienne,Ligue 1,opponent,40,25.8,51.7,38,418,3420,38,52,34,46,6,9,77,1,1.37,0.89,2.26,1.21,2.11,48.5,41.7,30.5,72.2,1.28,0.8,2.08,1.1,1.9,https://fbref.com/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
2021,Sampdoria,Serie A,team,27,27.9,45.1,38,418,3420,38,52,37,47,5,6,83,3,1.37,0.97,2.34,1.24,2.21,46.2,41.7,30,71.7,1.21,0.79,2,1.1,1.89,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
2021,Sampdoria,Serie A,opponent,27,27.1,54.9,38,418,3420,38,53,35,46,7,9,77,1,1.39,0.92,2.32,1.21,2.13,56.9,50.2,35.7,86,1.5,0.94,2.44,1.32,2.26,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
2021,Sassuolo,Serie A,team,28,26.5,60.8,38,418,3420,38,61,36,48,13,14,79,4,1.61,0.95,2.55,1.26,2.21,59.2,48.8,35.5,84.4,1.56,0.94,2.49,1.29,2.22,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats
2021,Sassuolo,Serie A,opponent,28,27.2,39.2,38,418,3420,38,55,46,51,4,5,82,4,1.45,1.21,2.66,1.34,2.55,54.9,51.1,38.8,89.9,1.44,1.02,2.47,1.34,2.37,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats
2021,Schalke 04,Bundesliga,team,42,25.9,44.6,34,374,3060,34,24,20,24,0,3,74,2,0.71,0.59,1.29,0.71,1.29,27,24.5,18.3,42.9,0.79,0.54,1.33,0.72,1.26,https://fbref.com/en/squads/c539e393/2020-2021/Schalke-04-Stats
2021,Schalke 04,Bundesliga,opponent,42,26,55.4,34,374,3060,34,81,65,74,7,8,59,2,2.38,1.91,4.29,2.18,4.09,68,62.1,48.9,111,2,1.44,3.44,1.83,3.26,https://fbref.com/en/squads/c539e393/2020-2021/Schalke-04-Stats
2021,Sevilla,La Liga,team,26,28.1,61.2,38,418,3420,38,52,36,46,6,7,79,2,1.37,0.95,2.32,1.21,2.16,50.9,45.6,34.8,80.4,1.34,0.92,2.26,1.2,2.12,https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats
2021,Sevilla,La Liga,opponent,26,27.3,38.8,38,418,3420,38,31,20,27,4,6,109,1,0.82,0.53,1.34,0.71,1.24,35,30.6,20.5,51.1,0.92,0.54,1.46,0.8,1.34,https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats
2021,Sheffield Utd,Premier League,team,27,26.7,41.5,38,418,3420,38,19,13,16,3,4,73,3,0.5,0.34,0.84,0.42,0.76,31.4,28.4,22.6,51,0.83,0.6,1.42,0.75,1.34,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2021,Sheffield Utd,Premier League,opponent,27,26.7,58.5,38,418,3420,38,60,45,57,3,4,39,1,1.58,1.18,2.76,1.5,2.68,62.4,59.5,43.4,102.8,1.64,1.14,2.78,1.56,2.71,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2021,Southampton,Premier League,team,29,26.6,52.2,38,418,3420,38,47,33,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,42.4,37.9,27.4,65.3,1.11,0.72,1.84,1,1.72,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
2021,Southampton,Premier League,opponent,29,26.5,47.8,38,418,3420,38,67,44,59,8,9,58,3,1.76,1.16,2.92,1.55,2.71,54.2,47.4,36.3,83.7,1.43,0.96,2.38,1.25,2.2,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
2021,Spezia,Serie A,team,35,25.2,52.2,38,418,3420,38,52,37,48,4,5,100,5,1.37,0.97,2.34,1.26,2.24,46.7,42.9,28.9,71.8,1.23,0.76,1.99,1.13,1.89,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats
2021,Spezia,Serie A,opponent,35,27.3,47.8,38,418,3420,38,72,50,63,9,10,83,3,1.89,1.32,3.21,1.66,2.97,69.3,61.8,48.9,110.7,1.82,1.29,3.11,1.63,2.91,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats
2021,Strasbourg,Ligue 1,team,26,26.8,45.6,38,418,3420,38,49,26,39,10,12,58,3,1.29,0.68,1.97,1.03,1.71,52.6,43.2,30,73.2,1.38,0.79,2.17,1.14,1.93,https://fbref.com/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
2021,Strasbourg,Ligue 1,opponent,26,26.1,54.4,38,418,3420,38,57,38,51,6,8,68,2,1.5,1,2.5,1.34,2.34,46.6,40.6,31.2,71.8,1.23,0.82,2.05,1.07,1.89,https://fbref.com/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
2021,Stuttgart,Bundesliga,team,29,24.1,51.5,34,374,3060,34,54,42,48,6,8,65,2,1.59,1.24,2.82,1.41,2.65,53.2,47.1,38.1,85.1,1.56,1.12,2.68,1.38,2.5,https://fbref.com/en/squads/598bc722/2020-2021/Stuttgart-Stats
2021,Stuttgart,Bundesliga,opponent,29,26.1,48.5,34,374,3060,34,54,38,49,5,7,69,3,1.59,1.12,2.71,1.44,2.56,53.3,48,35.4,83.4,1.57,1.04,2.61,1.41,2.45,https://fbref.com/en/squads/598bc722/2020-2021/Stuttgart-Stats
2021,Torino,Serie A,team,29,26.9,47.2,38,418,3420,38,49,28,44,5,6,78,4,1.29,0.74,2.03,1.16,1.89,50.2,45.5,32.5,78.1,1.32,0.86,2.18,1.2,2.05,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats
2021,Torino,Serie A,opponent,29,27.1,52.8,38,418,3420,38,68,48,59,9,10,101,6,1.79,1.26,3.05,1.55,2.82,59,51.5,37.3,88.8,1.55,0.98,2.53,1.35,2.34,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats
2021,Tottenham,Premier League,team,24,27.2,51.7,38,418,3420,38,66,50,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,54.5,50.7,35.5,86.2,1.43,0.93,2.37,1.33,2.27,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2021,Tottenham,Premier League,opponent,24,26.5,48.3,38,418,3420,38,42,24,32,10,10,77,1,1.11,0.63,1.74,0.84,1.47,49.5,41.9,33,75,1.3,0.87,2.17,1.1,1.97,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2021,Udinese,Serie A,team,33,27.2,46.1,38,418,3420,38,40,30,36,4,4,65,2,1.05,0.79,1.84,0.95,1.74,42.9,40.1,27.4,67.4,1.13,0.72,1.85,1.05,1.77,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats
2021,Udinese,Serie A,opponent,33,27.1,53.9,38,418,3420,38,58,35,44,14,14,84,4,1.53,0.92,2.45,1.16,2.08,52.1,41.6,31.4,73,1.37,0.83,2.2,1.1,1.92,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats
2021,Union Berlin,Bundesliga,team,27,27.3,44.9,34,374,3060,34,50,39,45,5,7,57,2,1.47,1.15,2.62,1.32,2.47,45.8,40.4,31.1,71.5,1.35,0.91,2.26,1.19,2.1,https://fbref.com/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
2021,Union Berlin,Bundesliga,opponent,27,26,55.1,34,374,3060,34,41,31,37,4,5,64,2,1.21,0.91,2.12,1.09,2,41.3,37.3,28.9,66.2,1.22,0.85,2.06,1.1,1.95,https://fbref.com/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
2021,Valencia,La Liga,team,30,25.2,46.9,38,418,3420,38,48,35,40,8,10,82,5,1.26,0.92,2.18,1.05,1.97,43.9,36.4,27.2,63.6,1.15,0.72,1.87,0.96,1.67,https://fbref.com/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2021,Valencia,La Liga,opponent,30,27.6,53.1,38,418,3420,38,51,29,46,5,8,99,5,1.34,0.76,2.11,1.21,1.97,53.9,47.7,32.5,80.2,1.42,0.86,2.27,1.25,2.11,https://fbref.com/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2021,Valladolid,La Liga,team,32,28.1,45.1,38,418,3420,38,34,21,27,7,8,93,4,0.89,0.55,1.45,0.71,1.26,37.1,31.2,22.1,53.3,0.98,0.58,1.56,0.82,1.4,https://fbref.com/en/squads/17859612/2020-2021/Valladolid-Stats
2021,Valladolid,La Liga,opponent,32,27.4,54.9,38,418,3420,38,57,44,51,6,7,96,2,1.5,1.16,2.66,1.34,2.5,51.8,46.5,35.7,82.1,1.36,0.94,2.3,1.22,2.16,https://fbref.com/en/squads/17859612/2020-2021/Valladolid-Stats
2021,Villarreal,La Liga,team,29,28,55.6,38,418,3420,38,57,33,45,12,13,67,5,1.5,0.87,2.37,1.18,2.05,58,48.3,40.5,88.9,1.53,1.07,2.59,1.27,2.34,https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats
2021,Villarreal,La Liga,opponent,29,27.5,44.4,38,418,3420,38,42,25,35,7,9,78,4,1.11,0.66,1.76,0.92,1.58,43.5,36.7,25.4,62,1.14,0.67,1.81,0.97,1.63,https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats
2021,Werder Bremen,Bundesliga,team,27,26.3,43.8,34,374,3060,34,35,25,30,5,5,67,3,1.03,0.74,1.76,0.88,1.62,33.8,30,21.5,51.5,0.99,0.63,1.63,0.88,1.52,https://fbref.com/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
2021,Werder Bremen,Bundesliga,opponent,27,26,56.2,34,374,3060,34,54,41,50,4,6,68,3,1.59,1.21,2.79,1.47,2.68,51,46.3,35.2,81.5,1.5,1.04,2.54,1.36,2.4,https://fbref.com/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
2021,West Brom,Premier League,team,30,26.4,37.6,38,418,3420,38,33,20,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,33.8,30.7,21.2,52,0.89,0.56,1.45,0.81,1.37,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2021,West Brom,Premier League,opponent,30,26.6,62.4,38,418,3420,38,73,52,66,7,11,50,1,1.92,1.37,3.29,1.74,3.11,67.7,59.4,44.1,103.5,1.78,1.16,2.94,1.56,2.72,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2021,West Ham,Premier League,team,24,27.8,42.9,38,418,3420,38,60,46,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,53.9,50.7,36.8,87.5,1.42,0.97,2.39,1.33,2.3,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2021,West Ham,Premier League,opponent,24,26.6,57.1,38,418,3420,38,43,34,40,3,5,52,1,1.13,0.89,2.03,1.05,1.95,48.3,44.5,35.3,79.8,1.27,0.93,2.2,1.17,2.1,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2021,Wolfsburg,Bundesliga,team,26,25.6,51.4,34,374,3060,34,57,48,55,2,3,58,3,1.68,1.41,3.09,1.62,3.03,49.5,47.4,37.6,85,1.45,1.11,2.56,1.39,2.5,https://fbref.com/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
2021,Wolfsburg,Bundesliga,opponent,26,26.1,48.6,34,374,3060,34,36,27,33,3,5,61,2,1.06,0.79,1.85,0.97,1.76,42,38.1,29.5,67.6,1.24,0.87,2.1,1.12,1.99,https://fbref.com/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
2021,Wolves,Premier League,team,27,26.3,49.3,38,418,3420,38,34,21,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,39.9,36.8,26.5,63.3,1.05,0.7,1.75,0.97,1.67,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
2021,Wolves,Premier League,opponent,27,26.6,50.7,38,418,3420,38,49,34,42,7,8,62,6,1.29,0.89,2.18,1.11,2,45.8,39.8,30.2,69.9,1.21,0.79,2,1.05,1.84,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
