"","id","Year","Lg","Tm","W","L","T","Div. Finish","Playoffs","PF","PA","PD","Coaches","AV","Passer","Rusher","Receiver","Pts...17","Yds...18","Pts...19","Yds...20","T/G","Pts±","Yds±","out of","MoV","SoS","SRS","OSRS","DSRS"
"1065","21",1997,"NFL","Philadelphia Eagles",6,9,1,"3rd of 5",NA,317,372,-55,"Rhodes","Fryar","Hoying","Watters","Fryar",19,5,24,13,24,22,7,30,-3.4,0.5,-3,-0.7,-2.3
"1066","21",1996,"NFL","Philadelphia Eagles*",10,6,0,"2nd of 5","Lost WC",363,341,22,"Rhodes","Watters","Detmer","Watters","Fryar",9,4,21,5,17,12,3,30,1.4,-0.8,0.6,2.1,-1.6
"1067","21",1995,"NFL","Philadelphia Eagles*",10,6,0,"2nd of 5","Lost Div",318,338,-20,"Rhodes","Harmon","Peete","Watters","Williams",21,25,15,4,11,18,13,30,-1.3,-0.5,-1.7,-1.9,0.2
"1068","21",1994,"NFL","Philadelphia Eagles",7,9,0,"4th of 5",NA,308,308,0,"Kotite","Allen","Cunningham","Walker","Barnett",17,14,11,4,6,12,9,28,0,0.6,0.6,-0.4,1
"1069","21",1993,"NFL","Philadelphia Eagles",8,8,0,"3rd of 5",NA,293,315,-22,"Kotite","Allen","Brister","Walker","Williams",17,15,19,17,13,19,18,28,-1.4,1.8,0.4,0.7,-0.3
"1070","21",1992,"NFL","Philadelphia Eagles*",11,5,0,"2nd of 5","Lost Div",354,245,109,"Kotite","Simmons","Cunningham","Walker","Barnett",5,7,6,6,5,5,8,28,6.8,2.1,8.9,4.8,4.1
"1071","21",1991,"NFL","Philadelphia Eagles",10,6,0,"3rd of 5",NA,285,244,41,"Kotite","White","McMahon","Joseph","Barnett",18,25,5,1,8,9,6,28,2.6,2.1,4.7,-0.3,5
"1072","21",1990,"NFL","Philadelphia Eagles*",10,6,0,"2nd of 5","Lost WC",396,299,97,"Ryan","Cunningham","Cunningham","Cunningham","Byars",3,3,12,12,8,6,3,28,6.1,-0.5,5.6,4.5,1.1
"1073","21",1989,"NFL","Philadelphia Eagles*",11,5,0,"2nd of 5","Lost WC",342,274,68,"Ryan","Allen","Cunningham","Cunningham","Byars",13,12,5,8,1,11,10,28,4.3,0.8,5.1,1.9,3.2
"1074","21",1988,"NFL","Philadelphia Eagles*",10,6,0,"1st of 5","Lost Div",379,319,60,"Ryan","White","Cunningham","Cunningham","Jackson",5,10,14,27,2,7,19,28,3.8,-0.3,3.4,2.3,1.1
"1075","21",1987,"NFL","Philadelphia Eagles",7,8,0,"4th of 5",NA,337,380,-43,"Ryan","White","Cunningham","Cunningham","Quick",12,10,25,23,2,20,17,28,-2.9,0.8,-2,1.3,-3.3
"1076","21",1986,"NFL","Philadelphia Eagles",5,10,1,"4th of 5",NA,256,312,-56,"Ryan","White","Jaworski","Byars","Quick",24,25,12,17,7,22,25,28,-3.5,2,-1.5,-2.9,1.4
"1077","21",1985,"NFL","Philadelphia Eagles",7,9,0,"4th of 5",NA,286,310,-24,"Campbell,Bruney","Hopkins","Jaworski","Jackson","Quick",24,15,10,10,24,19,13,28,-1.5,-1.9,-3.4,-4.8,1.3
"1078","21",1984,"NFL","Philadelphia Eagles",6,9,1,"5th of 5",NA,278,320,-42,"Campbell","Brown","Jaworski","Montgomery","Quick",23,26,14,12,15,19,23,28,-2.6,0.2,-2.4,-4.3,1.9
"1079","21",1983,"NFL","Philadelphia Eagles",5,11,0,"4th of 5",NA,233,322,-89,"Campbell","Quick","Jaworski","Oliver","Quick",28,27,8,18,23,24,25,28,-5.6,2.4,-3.1,-6.7,3.6
"1080","21",1982,"NFL","Philadelphia Eagles",3,6,0,"5th of 5",NA,191,195,-4,"Vermeil","Jaworski","Jaworski","Montgomery","Carmichael",11,18,19,20,7,13,21,28,-0.4,1.1,0.7,2.7,-2
"1081","21",1981,"NFL","Philadelphia Eagles*",10,6,0,"2nd of 5","Lost WC",368,221,147,"Vermeil","Montgomery","Jaworski","Montgomery","Carmichael",5,12,1,1,7,1,1,28,9.2,-0.5,8.7,2,6.7
"1082","21",1980,"NFL","Philadelphia Eagles*",12,4,0,"1st of 5","Lost SB",384,222,162,"Vermeil","Johnson","Jaworski","Montgomery","Smith",6,8,1,2,8,1,3,28,10.1,-0.4,9.7,2.9,6.8
"1083","21",1979,"NFL","Philadelphia Eagles*",11,5,0,"2nd of 5","Lost Div",339,282,57,"Vermeil","Montgomery","Jaworski","Montgomery","Carmichael",12,15,9,9,9,6,9,28,3.6,-0.9,2.7,0.3,2.4
"1084","21",1978,"NFL","Philadelphia Eagles*",9,7,0,"2nd of 5","Lost WC",270,250,20,"Vermeil","Bergey","Jaworski","Montgomery","Carmichael",18,18,5,11,2,9,11,28,1.3,1.1,2.3,-1.1,3.4
"1085","21",1977,"NFL","Philadelphia Eagles",5,9,0,"4th of 5",NA,220,207,13,"Vermeil","Bergey","Jaworski","Hogan","Carmichael",19,23,7,10,15,12,19,28,0.9,-1.5,-0.6,-2.5,1.9
"1086","21",1976,"NFL","Philadelphia Eagles",4,10,0,"4th of 5",NA,165,286,-121,"Vermeil","Bergey","Boryla","Hogan","Carmichael",27,23,19,21,22,24,24,28,-8.6,0,-8.7,-7.3,-1.4
"1087","21",1975,"NFL","Philadelphia Eagles",4,10,0,"5th of 5",NA,225,302,-77,"McCormack","Bergey","Gabriel","Sullivan","Young",21,17,16,20,6,19,17,26,-5.5,0.9,-4.6,-4,-0.6
"1088","21",1974,"NFL","Philadelphia Eagles",7,7,0,"4th of 5",NA,242,217,25,"McCormack","Bergey","Gabriel","Sullivan","Young",16,22,7,18,7,10,21,26,1.8,1.1,2.9,0,3
"1089","21",1973,"NFL","Philadelphia Eagles",5,8,1,"3rd of 5",NA,310,393,-83,"McCormack","Gabriel","Gabriel","Sullivan","Carmichael",8,2,25,25,11,20,17,26,-5.9,1.7,-4.2,3.5,-7.7
"1090","21",1972,"NFL","Philadelphia Eagles",2,11,1,"5th of 5",NA,145,352,-207,"Khayat","Bradley","Reaves","James","Jackson",26,24,22,24,22,24,23,26,-14.8,0.2,-14.6,-9.2,-5.3
