Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Alavés,La Liga,team,30,25.5,39.8,38,418,3420,38,40,31,39,1,3,105,4,1.05,0.82,1.87,1.03,1.84,39,36.7,25.8,62.6,1.03,0.68,1.71,0.97,1.65,https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats
2018,Alavés,La Liga,opponent,30,26.8,60.2,38,418,3420,38,48,28,41,7,10,84,4,1.26,0.74,2,1.08,1.82,53.2,46.2,34,80.2,1.4,0.9,2.3,1.21,2.11,https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats
2018,Amiens,Ligue 1,team,30,27.5,43.3,38,418,3420,38,36,24,33,3,4,72,5,0.95,0.63,1.58,0.87,1.5,35.3,32.2,23.5,55.7,0.93,0.62,1.55,0.85,1.47,https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats
2018,Amiens,Ligue 1,opponent,30,26,56.7,38,418,3420,38,42,30,38,4,4,55,2,1.11,0.79,1.89,1,1.79,55.4,52.4,40.8,93.1,1.46,1.07,2.53,1.38,2.45,https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats
2018,Angers,Ligue 1,team,27,27.1,44.7,38,418,3420,38,41,30,37,4,4,68,3,1.08,0.79,1.87,0.97,1.76,45.6,42.6,30.8,73.4,1.2,0.81,2.01,1.12,1.93,https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats
2018,Angers,Ligue 1,opponent,27,25.8,55.3,38,418,3420,38,48,34,41,7,7,83,7,1.26,0.89,2.16,1.08,1.97,44,38.7,31.1,69.7,1.16,0.82,1.98,1.02,1.84,https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats
2018,Arsenal,Premier League,team,30,26.8,61.5,38,418,3420,38,73,61,69,4,5,NA,NA,1.92,1.61,3.53,1.82,3.42,68.4,64.6,51.3,115.9,1.8,1.35,3.15,1.7,3.05,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats
2018,Arsenal,Premier League,opponent,30,27,38.5,38,418,3420,38,51,38,46,5,6,52,4,1.34,1,2.34,1.21,2.21,50.5,46,33.9,79.8,1.33,0.89,2.22,1.21,2.1,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats
2018,Atalanta,Serie A,team,25,25.7,55.2,38,418,3420,38,57,38,52,5,9,NA,NA,1.5,1,2.5,1.37,2.37,67.4,60.7,43.6,104.3,1.77,1.15,2.92,1.6,2.74,https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats
2018,Atalanta,Serie A,opponent,25,27.1,44.8,38,418,3420,38,39,29,38,1,2,81,5,1.03,0.76,1.79,1,1.76,37.2,35.8,27,62.7,0.98,0.71,1.69,0.94,1.65,https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats
