Name,Team,wFB/C,wCB/C,K/9
Jordan Lyles,BAL,-0.62,-0.26,7.24
Craig Stammen,SDP,0.21,-2.40,7.75
Emilio Pagan,MIN,0.53,1.73,12.00
Hunter Greene,CIN,-0.59,,11.75
Matt Brash,SEA,-0.80,1.27,11.01
Ross Detwiler,CIN,-0.78,0.21,9.57
Aaron Ashby,MIL,-0.54,0.89,10.57
Dakota Hudson,STL,-0.07,-0.48,5.03
Aroldis Chapman,NYY,-0.44,,10.65
Dane Dunning,TEX,-0.62,,8.04
Joely Rodriguez,NYM,0.71,,10.19
Dustin May,LAD,0.91,1.33,8.70
MacKenzie Gore,SDP,0.90,-0.69,9.26
Ryan Yarbrough,TBR,-0.54,,6.86
Luis Ortiz,PIT,1.45,,9.56
Victor Arano,WSN,-0.68,,9.43
Ian Gibaut,- - -,0.70,,12.00
Lou Trivino,- - -,-2.32,-2.73,11.24
Drew Hutchison,DET,-0.35,,5.81
Kyle Freeland,COL,-0.39,-1.01,6.75
Kirk McCarty,CLE,-1.71,-5.04,6.21
Chris Archer,MIN,-1.68,0.76,7.36
Nick Pivetta,BOS,0.14,-1.70,8.77
Luis Cessa,CIN,0.11,,6.58
Dillon Peters,PIT,1.43,1.39,5.95
Yohan Ramirez,- - -,0.96,,7.71
Adam Kolarek,OAK,-0.30,,4.58
Jose Ruiz,CHW,-1.18,1.11,10.09
Michael Grove,LAD,-0.27,-1.42,7.36
Wyatt Mills,- - -,0.67,,7.98
Joe Smith,MIN,-0.39,,5.60
Touki Toussaint,LAA,-0.19,0.76,9.24
Genesis Cabrera,STL,-0.74,1.96,6.45
Glenn Otto,TEX,0.23,-1.64,7.10
Mark Melancon,ARI,-1.31,-0.56,5.63
Erich Uelmen,CHC,-0.01,,7.00
JT Brubaker,PIT,-0.91,0.99,9.19
Robert Gsellman,CHC,-2.03,-4.17,5.28
Spenser Watkins,BAL,-0.80,-2.35,5.38
Josh Winder,MIN,-2.83,2.28,6.31
Brayan Bello,BOS,-1.82,-1.68,8.63
Anthony Gose,CLE,-2.44,,12.00
Mike Baumann,BAL,-0.45,-3.91,6.03
Phil Bickford,LAD,-0.13,,9.89
Adrian Houser,MIL,-0.51,-1.87,6.05
Taylor Rogers,- - -,-0.25,,11.75
Vince Velasquez,CHW,0.75,-0.49,8.24
Packy Naughton,STL,0.25,,8.72
Jeremy Beasley,TOR,0.91,,11.40
Trevor Megill,MIN,0.40,-0.76,9.80
Kyle Hendricks,CHC,-0.24,-3.03,7.04
Tyler Alexander,DET,-0.59,,5.44
Archie Bradley,LAA,0.79,0.49,7.23
Davis Martin,CHW,-0.92,-0.35,6.82
Corbin Martin,ARI,-0.73,-0.57,8.46
Jordan Hicks,STL,0.35,,9.24
Paolo Espino,WSN,-0.85,-0.39,7.31
Nick Nelson,PHI,-0.02,1.33,9.04
Madison Bumgarner,ARI,-2.55,0.29,6.35
Dylan Bundy,MIN,-0.24,1.34,6.04
Graham Ashcraft,CIN,-1.90,,6.09
Kyle Bradish,BAL,-1.23,0.04,8.49
Lucas Giolito,CHW,-0.42,-1.50,9.85
Hunter Strickland,CIN,-0.40,,8.66
Tyler Duffey,MIN,0.21,-1.93,7.98
Jake Bird,COL,0.32,-1.72,7.93
Yerry De Los Santos,PIT,0.29,,9.12
Sam Selman,OAK,-0.11,,8.84
Aaron Civale,CLE,-0.31,1.10,9.09
Ken Waldichuk,OAK,-1.76,1.66,8.57
Cole Ragans,TEX,-2.96,-0.61,6.08
German Marquez,COL,-1.12,1.08,7.43
Sean Manaea,SDP,0.03,,8.89
JoJo Romero,- - -,0.08,,9.37
Amir Garrett,KCR,1.18,,9.73
Jake Diekman,- - -,-0.19,,12.33
Ian Anderson,ATL,-0.47,-1.31,7.82
Shane Baz,TBR,-1.01,-1.82,10.00
Javy Guerra,- - -,0.87,,5.00
Jose Urena,- - -,-0.48,,5.85
Pierce Johnson,SDP,-0.87,0.78,13.19
Josiah Gray,WSN,-2.43,0.17,9.32
Matt Swarmer,CHC,-2.76,,9.53
Trevor May,NYM,-1.88,,10.80
Kyle Gibson,PHI,-0.10,-5.18,7.73
Antonio Senzatela,COL,-1.29,2.85,5.26
Zack Littell,SFG,-0.27,,7.92
Brad Keller,KCR,-0.96,,6.57
Alex Wood,SFG,-0.05,,9.02
Daniel Lynch,KCR,-0.83,-1.05,8.34
Josh Rogers,WSN,1.07,,4.10
Taylor Hearn,TEX,-0.30,,8.73
Tyler Danish,BOS,-1.95,,7.14
Tylor Megill,NYM,0.42,2.49,9.70
Tyler Beede,- - -,-1.74,-0.52,5.72
Jackson Tetreault,WSN,-0.86,-5.57,3.86
Zach Thompson,PIT,0.23,-0.51,6.66
Yusei Kikuchi,TOR,-1.37,,11.09
Daniel Norris,- - -,-0.86,-2.01,10.13
Dennis Santana,TEX,-0.47,,8.28
Jordan Weems,WSN,-0.10,-3.20,9.30
Josh Hader,- - -,-0.52,,14.58
Noe Ramirez,ARI,0.39,,9.18
Jose Berrios,TOR,-1.12,0.00,7.80
Tyler Gilbert,ARI,-0.94,-1.50,5.24
Cory Abbott,WSN,-0.57,-1.62,8.44
Steven Matz,STL,-1.21,-0.85,10.13
Garrett Richards,TEX,-2.42,0.76,7.59
J.B. Wendelken,ARI,-0.54,0.45,6.52
Jon Heasley,KCR,-1.10,-0.77,6.06
Jose Alvarez,SFG,-1.28,,8.80
Cole Sulser,MIA,0.49,5.62,10.06
Keynan Middleton,ARI,-4.01,,7.94
Trevor Richards,TOR,-1.01,,11.53
Tommy Henry,ARI,-0.72,0.50,6.89
Ian Kennedy,ARI,0.00,-5.82,7.87
Casey Mize,DET,-2.34,1.07,3.60
Tommy Milone,SEA,0.47,-3.68,2.70
Luke Farrell,- - -,-0.88,-1.48,8.40
Anderson Espinoza,CHC,-0.27,0.21,9.33
Jason Alexander,MIL,-1.24,,5.78
Bryan Shaw,CLE,-0.30,-5.39,8.02
Sean Reid-Foley,NYM,-2.91,,7.20
Matt Peacock,- - -,-1.04,,5.40
Dauri Moreta,CIN,-1.24,,9.16
Robert Stephenson,- - -,-2.16,5.93,8.53
Yunior Marte,SFG,0.04,,8.25
Mitch White,- - -,-0.91,-0.69,7.09
Trevor Rogers,MIA,-1.14,,8.92
Kutter Crawford,BOS,-1.69,-0.75,8.96
Calvin Faucher,TBR,0.00,-5.32,8.86
Tony Santillan,CIN,-0.90,,9.61
Bryse Wilson,PIT,-0.59,-1.37,6.15
Alex Faedo,DET,-1.91,,7.38
Austin Gomber,COL,-1.77,-0.96,6.86
Greg Weissert,NYY,0.21,,8.74
Kris Bubic,KCR,-1.87,-0.02,7.67
Cristopher Sanchez,PHI,-0.32,,7.88
Austin Warren,LAA,-1.09,,5.06
Jacob Barnes,- - -,-0.65,,4.84
Eric Stout,- - -,-1.73,0.73,10.07
Drew Steckenrider,SEA,-1.20,,6.28
Hyun-Jin Ryu,TOR,-1.39,0.12,5.33
Humberto Castellanos,ARI,-1.22,,6.50
Mike Mayers,LAA,0.36,-2.74,7.99
Kodi Whitley,STL,-0.80,,8.53
Ryan Borucki,- - -,0.85,,7.46
Justin Lawrence,COL,-0.44,,10.13
Chad Kuhl,COL,-2.02,-1.89,7.23
Daulton Jefferies,OAK,0.36,,6.41
Jared Koenig,OAK,0.21,-0.04,5.03
Dusten Knight,TBR,-2.02,-6.66,7.36
Yoan Lopez,NYM,-5.15,,8.18
Alex Colome,COL,-4.10,,6.13
Sean Hjelle,SFG,-0.89,,10.08
Ryan Brasier,BOS,-1.55,,9.24
Michael Pineda,DET,-1.98,,5.01
Austin Davis,- - -,-1.34,,10.29
Erick Fedde,WSN,-0.73,,6.66
Edwin Uceta,ARI,-0.49,-0.06,6.88
Ryan Feltner,COL,-1.56,-1.22,7.77
Hansel Robles,BOS,-0.58,,7.66
Kirby Snead,OAK,-1.01,,7.05
Chi Chi Gonzalez,- - -,-2.26,,5.87
Cole Sands,MIN,0.39,-2.39,8.22
Josh Winckowski,BOS,-1.59,,5.63
Ty Blach,COL,0.58,-10.89,5.89
Nick Wittgren,STL,-1.11,,5.28
DL Hall,BAL,0.56,-0.93,12.51
Max Castillo,- - -,-0.85,,8.47
Matthew Liberatore,STL,-1.33,-1.18,7.27
Bruce Zimmermann,BAL,-3.10,1.41,5.99
Mike Minor,CIN,-1.64,-1.72,6.98
Joe Kelly,CHW,-0.50,-0.04,12.89
Trevor Kelley,MIL,0.14,,8.75
Adonis Medina,NYM,1.22,-3.06,6.46
Jeurys Familia,- - -,-1.76,,8.32
Justin Dunn,CIN,-2.12,-1.31,6.10
Dinelson Lamet,- - -,-2.45,,12.53
Robert Dugger,- - -,0.18,0.81,10.69
Paul Fry,- - -,0.66,,9.69
Adrian Martinez,OAK,-2.19,,8.27
Louis Head,- - -,-3.43,,8.16
Adam Oller,OAK,-3.34,,5.57
Patrick Corbin,WSN,-1.20,,7.55
Reiver Sanmartin,CIN,0.76,,7.42
Elieser Hernandez,MIA,-2.21,,8.66
Kaleb Ort,BOS,-0.77,,8.58
