Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2021,Getafe,La Liga,opponent,31,27.4,57.2,38,418,3420,38,40,26,33,7,8,106,6,1.05,0.68,1.74,0.87,1.55,40.3,34.1,25,59.1,1.06,0.66,1.72,0.9,1.56,https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats
2021,Granada,La Liga,team,34,27.4,41,38,418,3420,38,46,30,43,3,5,97,6,1.21,0.79,2,1.13,1.92,39.5,35.9,23.8,59.6,1.04,0.63,1.67,0.94,1.57,https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats
2021,Granada,La Liga,opponent,34,27.6,59,38,418,3420,38,64,41,58,6,12,104,6,1.68,1.08,2.76,1.53,2.61,53.7,44.8,34.6,79.4,1.41,0.91,2.32,1.18,2.09,https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats
2021,Huesca,La Liga,team,27,28,48.3,38,418,3420,38,32,23,29,3,4,69,2,0.84,0.61,1.45,0.76,1.37,35.3,32.5,23.8,56.2,0.93,0.63,1.55,0.85,1.48,https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats
2021,Huesca,La Liga,opponent,27,27.3,51.7,38,418,3420,38,51,37,46,5,5,64,2,1.34,0.97,2.32,1.21,2.18,44.3,40.7,29.5,70.2,1.17,0.78,1.94,1.07,1.85,https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats
2021,Levante,La Liga,team,29,28,52.4,38,418,3420,38,45,35,42,3,6,68,1,1.18,0.92,2.11,1.11,2.03,41,36.4,28.5,64.9,1.08,0.75,1.83,0.96,1.71,https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats
2021,Levante,La Liga,opponent,29,27.4,47.6,38,418,3420,38,55,42,52,3,4,87,7,1.45,1.11,2.55,1.37,2.47,53.9,51,38.7,89.8,1.42,1.02,2.44,1.34,2.36,https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats
2021,Osasuna,La Liga,team,28,27.9,43.1,38,418,3420,38,36,25,31,5,6,80,5,0.95,0.66,1.61,0.82,1.47,37.6,33.2,23.4,56.7,0.99,0.62,1.61,0.87,1.49,https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats
2021,Osasuna,La Liga,opponent,28,27.4,56.9,38,418,3420,38,45,31,40,5,8,65,0,1.18,0.82,2,1.05,1.87,51.3,45.4,34.8,80.2,1.35,0.92,2.27,1.19,2.11,https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats
2021,Real Madrid,La Liga,team,30,27.9,59.7,38,418,3420,38,64,53,61,3,3,59,2,1.68,1.39,3.08,1.61,3,61.5,59.2,46,105.3,1.62,1.21,2.83,1.56,2.77,https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2021,Real Madrid,La Liga,opponent,30,27.5,40.3,38,418,3420,38,27,17,20,7,8,87,3,0.71,0.45,1.16,0.53,0.97,36.5,30.4,23.8,54.2,0.96,0.63,1.59,0.8,1.43,https://fbref.com/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
2021,Real Sociedad,La Liga,team,30,25,55.1,38,418,3420,38,58,39,49,9,12,81,1,1.53,1.03,2.55,1.29,2.32,60.4,51.6,39.2,90.7,1.59,1.03,2.62,1.36,2.39,https://fbref.com/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2021,Real Sociedad,La Liga,opponent,30,27.4,44.9,38,418,3420,38,37,24,34,3,5,91,6,0.97,0.63,1.61,0.89,1.53,36.6,32.8,24.4,57.3,0.96,0.64,1.61,0.86,1.51,https://fbref.com/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2021,Sevilla,La Liga,team,26,28.1,61.2,38,418,3420,38,52,36,46,6,7,79,2,1.37,0.95,2.32,1.21,2.16,50.9,45.6,34.8,80.4,1.34,0.92,2.26,1.2,2.12,https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats
2021,Sevilla,La Liga,opponent,26,27.3,38.8,38,418,3420,38,31,20,27,4,6,109,1,0.82,0.53,1.34,0.71,1.24,35,30.6,20.5,51.1,0.92,0.54,1.46,0.8,1.34,https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats
2021,Valencia,La Liga,team,30,25.2,46.9,38,418,3420,38,48,35,40,8,10,82,5,1.26,0.92,2.18,1.05,1.97,43.9,36.4,27.2,63.6,1.15,0.72,1.87,0.96,1.67,https://fbref.com/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2021,Valencia,La Liga,opponent,30,27.6,53.1,38,418,3420,38,51,29,46,5,8,99,5,1.34,0.76,2.11,1.21,1.97,53.9,47.7,32.5,80.2,1.42,0.86,2.27,1.25,2.11,https://fbref.com/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2021,Valladolid,La Liga,team,32,28.1,45.1,38,418,3420,38,34,21,27,7,8,93,4,0.89,0.55,1.45,0.71,1.26,37.1,31.2,22.1,53.3,0.98,0.58,1.56,0.82,1.4,https://fbref.com/en/squads/17859612/2020-2021/Valladolid-Stats
2021,Valladolid,La Liga,opponent,32,27.4,54.9,38,418,3420,38,57,44,51,6,7,96,2,1.5,1.16,2.66,1.34,2.5,51.8,46.5,35.7,82.1,1.36,0.94,2.3,1.22,2.16,https://fbref.com/en/squads/17859612/2020-2021/Valladolid-Stats
2021,Villarreal,La Liga,team,29,28,55.6,38,418,3420,38,57,33,45,12,13,67,5,1.5,0.87,2.37,1.18,2.05,58,48.3,40.5,88.9,1.53,1.07,2.59,1.27,2.34,https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats
2021,Villarreal,La Liga,opponent,29,27.5,44.4,38,418,3420,38,42,25,35,7,9,78,4,1.11,0.66,1.76,0.92,1.58,43.5,36.7,25.4,62,1.14,0.67,1.81,0.97,1.63,https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats
