yearID,lgID,teamID,G,W,L,R,RA,RD,Wpct
2003,NL,PHI,162,86,76,791,697,94,0.530864198
2003,NL,PIT,162,75,87,753,801,-48,0.462962963
2003,NL,SDN,162,64,98,678,831,-153,0.395061728
2003,AL,SEA,162,93,69,795,637,158,0.574074074
2003,NL,SFN,161,100,61,755,638,117,0.621118012
2003,NL,SLN,162,85,77,876,796,80,0.524691358
2003,AL,TBA,162,63,99,715,852,-137,0.388888889
2003,AL,TEX,162,71,91,826,969,-143,0.438271605
2003,AL,TOR,162,86,76,894,826,68,0.530864198
2004,AL,ANA,162,92,70,836,734,102,0.567901235
2004,NL,ARI,162,51,111,615,899,-284,0.314814815
2004,NL,ATL,162,96,66,803,668,135,0.592592593
2004,AL,BAL,162,78,84,842,830,12,0.481481481
2004,AL,BOS,162,98,64,949,768,181,0.604938272
2004,AL,CHA,162,83,79,865,831,34,0.512345679
2004,NL,CHN,162,89,73,789,665,124,0.549382716
2004,NL,CIN,162,76,86,750,907,-157,0.469135802
2004,AL,CLE,162,80,82,858,857,1,0.49382716
2004,NL,COL,162,68,94,833,923,-90,0.419753086
2004,AL,DET,162,72,90,827,844,-17,0.444444444
2004,NL,FLO,162,83,79,718,700,18,0.512345679
2004,NL,HOU,162,92,70,803,698,105,0.567901235
2004,AL,KCA,162,58,104,720,905,-185,0.358024691
2004,NL,LAN,162,93,69,761,684,77,0.574074074
2004,NL,MIL,161,67,94,634,757,-123,0.416149068
2004,AL,MIN,162,92,70,780,715,65,0.567901235
2004,NL,MON,162,67,95,635,769,-134,0.413580247
2004,AL,NYA,162,101,61,897,808,89,0.62345679
2004,NL,NYN,162,71,91,684,731,-47,0.438271605
2004,AL,OAK,162,91,71,793,742,51,0.561728395
2004,NL,PHI,162,86,76,840,781,59,0.530864198
2004,NL,PIT,161,72,89,680,744,-64,0.447204969
2004,NL,SDN,162,87,75,768,705,63,0.537037037
2004,AL,SEA,162,63,99,698,823,-125,0.388888889
2004,NL,SFN,162,91,71,850,770,80,0.561728395
2004,NL,SLN,162,105,57,855,659,196,0.648148148
2004,AL,TBA,161,70,91,714,842,-128,0.434782609
2004,AL,TEX,162,89,73,860,794,66,0.549382716
2004,AL,TOR,161,67,94,719,823,-104,0.416149068
2005,NL,ARI,162,77,85,696,856,-160,0.475308642
2005,NL,ATL,162,90,72,769,674,95,0.555555556
2005,AL,BAL,162,74,88,729,800,-71,0.456790123
2005,AL,BOS,162,95,67,910,805,105,0.586419753
2005,AL,CHA,162,99,63,741,645,96,0.611111111
