Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2020,Alavés,La Liga,team,32,27.6,41.1,38,418,3420,38,34,20,28,6,6,111,7,0.89,0.53,1.42,0.74,1.26,37,32.5,23.5,56.1,0.97,0.62,1.59,0.86,1.48,https://fbref.com/en/squads/8d6fd021/2019-2020/Alaves-Stats
2020,Alavés,La Liga,opponent,32,27.3,58.9,38,418,3420,38,59,36,47,12,15,87,3,1.55,0.95,2.5,1.24,2.18,53.2,42,32.3,74.3,1.4,0.85,2.25,1.11,1.96,https://fbref.com/en/squads/8d6fd021/2019-2020/Alaves-Stats
2020,Amiens,Ligue 1,team,27,27.4,45.5,28,308,2520,28,31,20,28,3,5,57,4,1.11,0.71,1.82,1,1.71,26.7,22.8,16.7,39.5,0.95,0.6,1.55,0.81,1.41,https://fbref.com/en/squads/25622401/2019-2020/Amiens-Stats
2020,Amiens,Ligue 1,opponent,27,26,54.5,28,308,2520,28,49,36,48,1,1,43,1,1.75,1.29,3.04,1.71,3,35.4,34.7,24.9,59.6,1.26,0.89,2.16,1.24,2.13,https://fbref.com/en/squads/25622401/2019-2020/Amiens-Stats
2020,Angers,Ligue 1,team,26,28,45.1,28,308,2520,28,27,21,26,1,1,42,2,0.96,0.75,1.71,0.93,1.68,27,26.3,20.2,46.5,0.96,0.72,1.69,0.94,1.66,https://fbref.com/en/squads/69236f98/2019-2020/Angers-Stats
2020,Angers,Ligue 1,opponent,26,26.2,54.9,28,308,2520,28,32,25,29,3,3,47,0,1.14,0.89,2.04,1.04,1.93,28.7,26.5,20.8,47.3,1.02,0.74,1.77,0.95,1.69,https://fbref.com/en/squads/69236f98/2019-2020/Angers-Stats
2020,Arsenal,Premier League,team,29,25.8,54,38,418,3420,38,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,76.9,1.3,0.79,2.08,1.24,2.02,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2020,Arsenal,Premier League,opponent,29,26.6,46,38,418,3420,38,48,30,41,7,8,79,1,1.26,0.79,2.05,1.08,1.87,56.6,50.4,35.8,86.2,1.49,0.94,2.43,1.33,2.27,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2020,Aston Villa,Premier League,team,28,25.7,43.9,38,418,3420,38,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40.1,37.7,30.4,68.1,1.05,0.8,1.85,0.99,1.79,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2020,Aston Villa,Premier League,opponent,28,26.6,56.1,38,418,3420,38,66,44,61,5,6,90,7,1.74,1.16,2.89,1.61,2.76,65.9,61.3,44.3,105.5,1.73,1.17,2.9,1.61,2.78,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2020,Atalanta,Serie A,team,30,27.2,57.8,38,418,3420,38,96,68,89,7,10,80,2,2.53,1.79,4.32,2.34,4.13,81.8,74.2,53.5,127.7,2.15,1.41,3.56,1.95,3.36,https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats
2020,Atalanta,Serie A,opponent,30,27,42.2,38,418,3420,38,46,30,40,6,6,106,7,1.21,0.79,2,1.05,1.84,41.4,36.8,27.4,64.2,1.09,0.72,1.81,0.97,1.69,https://fbref.com/en/squads/922493f3/2019-2020/Atalanta-Stats
2020,Athletic Club,La Liga,team,26,26.7,48.7,38,418,3420,38,40,23,32,8,10,90,2,1.05,0.61,1.66,0.84,1.45,38.5,31,23.6,54.6,1.01,0.62,1.64,0.81,1.44,https://fbref.com/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
2020,Athletic Club,La Liga,opponent,26,27.1,51.3,38,418,3420,38,36,26,31,5,7,89,0,0.95,0.68,1.63,0.82,1.5,46.2,41,30.8,71.8,1.22,0.81,2.03,1.08,1.89,https://fbref.com/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
2020,Atlético Madrid,La Liga,team,30,26.1,48.5,38,418,3420,38,50,35,44,6,8,93,3,1.32,0.92,2.24,1.16,2.08,52.6,46.5,34.4,80.9,1.38,0.9,2.29,1.22,2.13,https://fbref.com/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
2020,Atlético Madrid,La Liga,opponent,30,27.4,51.5,38,418,3420,38,24,15,21,3,4,113,4,0.63,0.39,1.03,0.55,0.95,30.8,27.9,20.5,48.4,0.81,0.54,1.35,0.73,1.27,https://fbref.com/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
2020,Augsburg,Bundesliga,team,28,26.2,38.1,34,374,3060,34,45,29,42,3,5,68,2,1.32,0.85,2.18,1.24,2.09,42.1,38.2,26.2,64.4,1.24,0.77,2.01,1.12,1.9,https://fbref.com/en/squads/0cdc4311/2019-2020/Augsburg-Stats
2020,Augsburg,Bundesliga,opponent,28,25.9,61.9,34,374,3060,34,60,50,60,0,1,64,3,1.76,1.47,3.24,1.76,3.24,54.9,54.2,43.1,97.3,1.62,1.27,2.88,1.59,2.86,https://fbref.com/en/squads/0cdc4311/2019-2020/Augsburg-Stats
2020,Barcelona,La Liga,team,28,27.8,66.9,38,418,3420,38,84,62,78,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.2,61.8,48.2,110,1.74,1.27,3.01,1.63,2.89,https://fbref.com/en/squads/206d90db/2019-2020/Barcelona-Stats
2020,Barcelona,La Liga,opponent,28,27,33.1,38,418,3420,38,37,21,31,6,7,89,4,0.97,0.55,1.53,0.82,1.37,36,30.8,22.2,53,0.95,0.59,1.53,0.81,1.4,https://fbref.com/en/squads/206d90db/2019-2020/Barcelona-Stats
2020,Bayern Munich,Bundesliga,team,29,26.7,65.6,34,374,3060,34,97,75,91,6,6,54,3,2.85,2.21,5.06,2.68,4.88,82.3,77.8,64.2,142,2.42,1.89,4.31,2.29,4.18,https://fbref.com/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
2020,Bayern Munich,Bundesliga,opponent,29,26,34.4,34,374,3060,34,31,23,28,3,4,57,3,0.91,0.68,1.59,0.82,1.5,34.3,31.3,22.6,53.9,1.01,0.67,1.68,0.92,1.59,https://fbref.com/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
2020,Betis,La Liga,team,27,27.5,57.1,38,418,3420,38,48,35,42,6,8,108,9,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.3,73.7,1.24,0.85,2.1,1.09,1.94,https://fbref.com/en/squads/fc536746/2019-2020/Real-Betis-Stats
2020,Betis,La Liga,opponent,27,27,42.9,38,418,3420,38,59,40,48,11,11,111,5,1.55,1.05,2.61,1.26,2.32,49.5,41.2,31.8,73,1.3,0.84,2.14,1.08,1.92,https://fbref.com/en/squads/fc536746/2019-2020/Real-Betis-Stats
2020,Bologna,Serie A,team,31,27.2,52.9,38,418,3420,38,48,31,43,5,6,109,7,1.26,0.82,2.08,1.13,1.95,53.1,48.5,36.3,84.8,1.4,0.95,2.35,1.28,2.23,https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats
2020,Bologna,Serie A,opponent,31,26.9,47.1,38,418,3420,38,64,40,58,6,8,104,7,1.68,1.05,2.74,1.53,2.58,54.9,48.7,35.1,83.8,1.44,0.92,2.37,1.28,2.21,https://fbref.com/en/squads/1d8099f8/2019-2020/Bologna-Stats
2020,Bordeaux,Ligue 1,team,26,26.9,53.9,28,308,2520,28,40,29,38,2,2,55,0,1.43,1.04,2.46,1.36,2.39,29.7,28.3,21.4,49.7,1.06,0.76,1.83,1.01,1.77,https://fbref.com/en/squads/123f3efe/2019-2020/Bordeaux-Stats
2020,Bordeaux,Ligue 1,opponent,26,25.9,46.1,28,308,2520,28,33,28,31,2,3,65,8,1.18,1,2.18,1.11,2.11,33.3,31,24.9,55.9,1.19,0.89,2.08,1.11,2,https://fbref.com/en/squads/123f3efe/2019-2020/Bordeaux-Stats
2020,Bournemouth,Premier League,team,27,25.2,43.8,38,418,3420,38,38,24,34,4,4,78,3,1,0.63,1.63,0.89,1.53,42.7,39.7,27.4,67,1.12,0.72,1.84,1.04,1.76,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2020,Bournemouth,Premier League,opponent,27,26.8,56.2,38,418,3420,38,65,45,60,5,6,67,3,1.71,1.18,2.89,1.58,2.76,57.5,53,38.5,91.5,1.51,1.01,2.53,1.4,2.41,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2020,Brescia,Serie A,team,32,25.6,40.3,38,418,3420,38,34,22,30,4,4,95,6,0.89,0.58,1.47,0.79,1.37,42.4,39.4,25.4,64.8,1.12,0.67,1.79,1.04,1.71,https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats
2020,Brescia,Serie A,opponent,32,27.1,59.7,38,418,3420,38,76,55,67,9,11,106,2,2,1.45,3.45,1.76,3.21,77.6,69.5,54.1,123.6,2.04,1.42,3.47,1.83,3.25,https://fbref.com/en/squads/4ef57aeb/2019-2020/Brescia-Stats
2020,Brest,Ligue 1,team,24,26.1,49.7,28,308,2520,28,32,27,31,1,5,45,2,1.14,0.96,2.11,1.11,2.07,30.2,26.4,21,47.3,1.08,0.75,1.83,0.94,1.69,https://fbref.com/en/squads/fb08dbb3/2019-2020/Brest-Stats
2020,Brest,Ligue 1,opponent,24,26.2,50.3,28,308,2520,28,37,24,33,4,6,40,1,1.32,0.86,2.18,1.18,2.04,40.5,36,23.9,59.9,1.45,0.85,2.3,1.28,2.14,https://fbref.com/en/squads/fb08dbb3/2019-2020/Brest-Stats
2020,Brighton,Premier League,team,25,26.4,52.2,38,418,3420,38,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,41.2,39.7,26.5,66.2,1.08,0.7,1.78,1.04,1.74,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2020,Brighton,Premier League,opponent,25,26.5,47.8,38,418,3420,38,52,42,50,2,2,61,1,1.37,1.11,2.47,1.32,2.42,54.5,52.9,39,91.9,1.43,1.03,2.46,1.39,2.42,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2020,Burnley,Premier League,team,22,28,41.4,38,418,3420,38,41,30,38,3,3,67,0,1.08,0.79,1.87,1,1.79,43.9,41.6,27.2,68.8,1.15,0.72,1.87,1.09,1.81,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
2020,Burnley,Premier League,opponent,22,26.5,58.6,38,418,3420,38,49,38,45,4,5,42,3,1.29,1,2.29,1.18,2.18,48.3,44.5,33.1,77.6,1.27,0.87,2.14,1.17,2.04,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
2020,Cagliari,Serie A,team,33,27.4,45.5,38,418,3420,38,50,34,46,4,6,108,6,1.32,0.89,2.21,1.21,2.11,41.4,36.7,28.5,65.2,1.09,0.75,1.84,0.97,1.72,https://fbref.com/en/squads/c4260e09/2019-2020/Cagliari-Stats
2020,Cagliari,Serie A,opponent,33,27,54.5,38,418,3420,38,53,35,46,7,9,76,6,1.39,0.92,2.32,1.21,2.13,57.2,51.1,37.7,88.8,1.51,0.99,2.5,1.35,2.34,https://fbref.com/en/squads/c4260e09/2019-2020/Cagliari-Stats
2020,Celta Vigo,La Liga,team,30,25.8,51.9,38,418,3420,38,37,26,31,6,9,104,6,0.97,0.68,1.66,0.82,1.5,37.7,30.9,24.9,55.8,0.99,0.65,1.65,0.81,1.47,https://fbref.com/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
2020,Celta Vigo,La Liga,opponent,30,27.2,48.1,38,418,3420,38,49,31,44,5,5,119,5,1.29,0.82,2.11,1.16,1.97,42,38.2,29.5,67.6,1.1,0.78,1.88,1,1.78,https://fbref.com/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
