year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Kaprielian, James,621076,Athletics,OAK,R,94,1091,2230,13.765432098765432,0.489237668161435,FF,4-Seamer,15.5,-14.5,-1,-7,7.6,-6.9,0.7,10,0.33578431372549017,0.5343137254901961
2022,Mahle, Tyler,641816,Twins,MIN,R,93.2,1084,2101,12.969135802469136,0.5159447881960971,FF,4-Seamer,13.5,-15.5,2,13,10.2,-7.7,2.5,33,0.9166666666666666,0.7450980392156863
2022,Cortes, Nestor,641482,Yankees,NYY,L,91.8,1082,2465,15.216049382716049,0.4389452332657201,FF,4-Seamer,12.8,-16,3.2,20,4.1,-7.1,-3,-42,0.9877450980392157,0.16666666666666666
2022,Manoah, Alek,666201,Blue Jays,TOR,R,93.9,1057,2949,18.203703703703702,0.3584265852831468,FF,4-Seamer,14.3,-14.6,0.3,2,5.5,-7,-1.5,-22,0.5759803921568627,0.28431372549019607
2022,Lynch, Daniel,663738,Royals,KC,L,94,1052,2435,15.030864197530864,0.4320328542094456,FF,4-Seamer,15.3,-14.5,-0.7,-5,6.9,-7.1,-0.2,-3,0.38235294117647056,0.4068627450980392
2022,Gray, Jon,592351,Rangers,TEX,R,95.9,1042,2062,12.728395061728396,0.5053346265761397,FF,4-Seamer,17.2,-14.4,-2.8,-20,11.4,-8.4,2.9,35,0.09558823529411764,0.8063725490196079
2022,Garcia, Luis,677651,Astros,HOU,R,94,1038,2468,15.234567901234568,0.4205834683954619,FF,4-Seamer,13.1,-14.3,1.3,9,7.5,-6.6,0.8,13,0.803921568627451,0.5612745098039216
2022,Gonzales, Marco,594835,Mariners,SEA,L,88.4,1035,2838,17.51851851851852,0.36469344608879495,FF,4-Seamer,20.3,-18.1,-2.2,-12,12.2,-7,5.1,73,0.16176470588235295,0.9754901960784313
2022,Rogers, Trevor,669432,Marlins,MIA,L,94.6,1022,1940,11.975308641975309,0.5268041237113402,FF,4-Seamer,16.7,-14.6,-2,-14,12.6,-7.6,5,66,0.19117647058823528,0.9681372549019608
2022,Gray, Josiah,680686,Nationals,WSH,R,94.4,1015,2597,16.030864197530864,0.3908355795148248,FF,4-Seamer,13,-15.1,2.1,14,10,-8.6,1.4,17,0.928921568627451,0.6544117647058824
2022,Nola, Aaron,605400,Phillies,PHI,R,92.8,1015,3039,18.75925925925926,0.33399144455412966,FF,4-Seamer,16.6,-16.6,0,0,13.1,-8.5,4.6,54,0.5049019607843137,0.946078431372549
2022,Taillon, Jameson,592791,Yankees,NYY,R,94.1,999,2805,17.314814814814813,0.35614973262032085,FF,4-Seamer,13.2,-14.4,1.1,8,5.7,-6.8,-1.1,-16,0.7328431372549019,0.32598039215686275
2022,Bieber, Shane,669456,Guardians,CLE,R,91.3,990,2875,17.746913580246915,0.3443478260869565,FF,4-Seamer,15.3,-16.6,1.3,8,8.5,-7.2,1.3,18,0.803921568627451,0.6421568627450981
2022,Wheeler, Zack,554430,Phillies,PHI,R,95.9,987,2358,14.555555555555555,0.41857506361323155,FF,4-Seamer,13.6,-13.8,0.2,2,9.2,-7.8,1.4,18,0.5588235294117647,0.6544117647058824
