Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2019,Caen,Ligue 1,opponent,26,26,56.1,38,418,3420,38,52,33,46,6,8,65,4,1.37,0.87,2.24,1.21,2.08,57.6,51.8,38,89.8,1.52,1,2.52,1.36,2.36,https://fbref.com/en/squads/74229020/2018-2019/Caen-Stats
2019,Cagliari,Serie A,team,30,27.9,50,38,418,3420,38,36,27,34,2,3,94,9,0.95,0.71,1.66,0.89,1.61,39.1,36.9,27.5,64.3,1.03,0.72,1.75,0.97,1.69,https://fbref.com/en/squads/c4260e09/2018-2019/Cagliari-Stats
2019,Cagliari,Serie A,opponent,30,26.9,50,38,418,3420,38,52,34,44,8,10,75,5,1.37,0.89,2.26,1.16,2.05,58.5,51,38.1,89.1,1.54,1,2.54,1.34,2.34,https://fbref.com/en/squads/c4260e09/2018-2019/Cagliari-Stats
2019,Cardiff City,Premier League,team,25,27.7,35.6,38,418,3420,38,33,20,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,39.4,36.3,22.8,59.2,1.04,0.6,1.64,0.96,1.56,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2019,Cardiff City,Premier League,opponent,25,26.7,64.4,38,418,3420,38,69,53,65,4,7,49,3,1.82,1.39,3.21,1.71,3.11,62.4,57.1,41.3,98.5,1.64,1.09,2.73,1.5,2.59,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2019,Celta Vigo,La Liga,team,28,25.5,51.7,38,418,3420,38,52,37,45,7,7,79,6,1.37,0.97,2.34,1.18,2.16,44.8,39.6,29.9,69.5,1.18,0.79,1.96,1.04,1.83,https://fbref.com/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats
2019,Celta Vigo,La Liga,opponent,28,26.9,48.3,38,418,3420,38,61,41,55,6,7,89,2,1.61,1.08,2.68,1.45,2.53,59.7,54.4,41.3,95.7,1.57,1.09,2.66,1.43,2.52,https://fbref.com/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats
2019,Chelsea,Premier League,team,24,27.3,62.8,38,418,3420,38,61,52,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.9,55.1,44.8,99.9,1.55,1.18,2.73,1.45,2.63,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2019,Chelsea,Premier League,opponent,24,26.8,37.2,38,418,3420,38,39,30,38,1,2,63,0,1.03,0.79,1.82,1,1.79,35.7,34,27.4,61.4,0.94,0.72,1.66,0.89,1.62,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2019,Chievo,Serie A,team,36,28.3,43.1,38,418,3420,38,25,17,21,4,6,110,7,0.66,0.45,1.11,0.55,1,35.6,31.3,22.8,54.1,0.94,0.6,1.54,0.82,1.42,https://fbref.com/en/squads/cc919b35/2018-2019/Chievo-Stats
