"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"99","Cayden Primeau","MTL","12","519.21666666667","302","262","40","0.868","4.62","-11.92","26.37","79","59","20","0.747","2.31","-5.52","23","37","35.97","23.90"
"20","Harri Sateri","ARI","6","298.36666666667","157","136","21","0.866","4.22","-6.40","17.52","51","40","11","0.784","2.21","-1.65","4","19","30.59","18.57"
"111","Justus Annunen","COL","2","96.766666666667","51","44","7","0.863","4.34","-2.26","3.8","9","5","4","0.556","2.48","-2.35","2","7","46.67","20.86"
"119","Arvid Soderblom","CHI","3","155.81666666667","95","82","13","0.863","5.01","-4.17","8.43","23","18","5","0.783","1.93","-0.78","3","9","31.59","23.38"
"18","Michael Hutchinson","TOR","2","78.716666666667","42","36","6","0.857","4.57","-2.09","4.26","18","15","3","0.833","2.29","0.30","12","4","31.24","31.00"
"68","Jonas Johansson","COL, FLA","11","486.51666666667","265","226","39","0.853","4.81","-14.36","21.72","75","53","22","0.707","2.71","-8.25","11","30","35.98","21.72"
"83","Joey Daccord","SEA","5","293.21666666667","140","119","21","0.850","4.30","-7.98","13.79","48","35","13","0.729","2.66","-4.20","9","11","29.84","16.19"
"10","Tuukka Rask","BOS","4","196.35","90","76","14","0.844","4.28","-5.63","7.46","30","20","10","0.667","3.06","-4.50","8","5","36.82","19.29"
"113","Akira Schmid","N.J","6","235.98333333333","114","95","19","0.833","4.83","-8.40","8.88","28","19","9","0.679","2.29","-3.87","3","14","35.87","21.74"
"45","Maxime Lagace","T.B","2","98.133333333333","58","48","10","0.828","6.11","-4.61","5.52","27","19","8","0.704","4.89","-3.05","0","7","27.81","17.00"
"97","Michael Dipietro","VAN","1","57.35","17","14","3","0.824","3.14","-1.42","1.77","7","5","2","0.714","2.09","-0.72","1","2","36.82","24.33"
"82","Adam Huska","NYR","1","39.7","39","32","7","0.821","10.58","-3.37","3.07","9","5","4","0.556","6.05","-2.35","0","3","34.79","22.00"
"12","Alex Stalock","S.J","1","46.116666666667","28","22","6","0.786","7.81","-3.40","2.65","12","7","5","0.583","6.51","-2.80","0","4","32.50","16.17"
"94","Jack LaFontaine","CAR","2","74.95","41","32","9","0.780","7.20","-5.19","3.76","14","8","6","0.571","4.80","-3.43","5","5","27.44","21.22"
"27","Carter Hutton","ARI","3","115.96666666667","58","43","15","0.741","7.76","-9.61","4.75","16","10","6","0.625","3.10","-3.07","2","3","36.22","23.20"
"116","Hugo Alnefelt","T.B","1","20","10","7","3","0.700","9.00","-2.07","0.56","4","2","2","0.500","6.00","-1.27","0","1","33.90","21.00"
"106","Thomas Hodges","ANA","1","19.266666666667","3","2","1","0.667","3.11","-0.72","0.18","0","0","0","-","0.00","0.00","1","0","74.00","30.00"
"84","Michael McNiven","MTL","1","20","7","4","3","0.571","9.00","-2.35","1.13","3","2","1","0.667","3.00","-0.45","0","2","22.86","19.33"
